!SIL 1.0	SIL
A 1.0	A
emPisilina 1.0	e m P i s i l i n a
ema 1.0	e m a
ena 1.0	e n a
esA 1.0	e s A
esa 1.0	e s a
evaM 1.0	e v a M
evala 1.0	e v a l a
evam 1.0	e v a m
gA 1.0	g A
gAI 1.0	g A I
gAMXI 1.0	g A M X I
gAMva 1.0	g A M v a
gAdI 1.0	g A d I
gAida 1.0	g A i d a
gAnXI 1.0	g A n X I
gAnXarbana 1.0	g A n X a r b a n a
gAne 1.0	g A n e
gAra 1.0	g A r a
gArda 1.0	g A r d a
gArdana 1.0	g A r d a n a
gArdiyana 1.0	g A r d i y a n a
gAta 1.0	g A t a
gAva 1.0	g A v a
gAvoM 1.0	g A v o M
gAyA 1.0	g A y A
gAya 1.0	g A y a
gAyaba 1.0	g A y a b a
gAyaka 1.0	g A y a k a
gAyawrI 1.0	g A y a w r I
gAye 1.0	g A y e
gAzXI 1.0	g A z X I
gAzvAlo 1.0	g A z v A l o
gAzva 1.0	g A z v a
gAzvo 1.0	g A z v o
gAzvoM 1.0	g A z v o M
gEi 1.0	g E i
gEra 1.0	g E r a
gI 1.0	g I
gIrAyA 1.0	g I r A y A
gIre 1.0	g I r e
gIwa 1.0	g I w a
gOYva 1.0	g O Y v a
gOrava 1.0	g O r a v a
gOwama 1.0	g O w a m a
gUDZa 1.0	g U D Z a
gaDZa 1.0	g a D Z a
gaDZavAla 1.0	g a D Z a v A l a
gaDZvAla 1.0	g a D Z v A l a
gaDvAla 1.0	g a D v A l a
gaI 1.0	g a I
gaMBIra 1.0	g a M B I r a
gaMdaka 1.0	g a M d a k a
gaMgA 1.0	g a M g A
gaNa 1.0	g a N a
gaNamAnaya 1.0	g a N a m A n a y a
gaNarAjya 1.0	g a N a r A j y a
gaNeSa 1.0	g a N e S a
gaNiwa 1.0	g a N i w a
gaNmAnya 1.0	g a N m A n y a
gaNneSana 1.0	g a N n e S a n a
gaTa 1.0	g a T a
gaTiwa 1.0	g a T i w a
gadZbadZa 1.0	g a d Z b a d Z a
gae 1.0	g a e
gaez 1.0	g a e z
gagana 1.0	g a g a n a
gahana 1.0	g a h a n a
gaharA 1.0	g a h a r A
gaharAI 1.0	g a h a r A I
gahe 1.0	g a h e
gahrA 1.0	g a h r A
galI 1.0	g a l I
galawa 1.0	g a l a w a
gale 1.0	g a l e
gamBIra 1.0	g a m B I r a
gamBIrwA 1.0	g a m B I r w A
gana 1.0	g a n a
garIba 1.0	g a r I b a
garaja 1.0	g a r a j a
garmI 1.0	g a r m I
gawI 1.0	g a w I
gawi 1.0	g a w i
gawiroXa 1.0	g a w i r o X a
gawiviXiyoM 1.0	g a w i v i X i y o M
gaxxI 1.0	g a x x I
gayA	 1.0	g a y A
gayA 1.0	g a y A
gayI 1.0	g a y I
gayIM 1.0	g a y I M
gaya 1.0	g a y a
gayaU 1.0	g a y a U
gayau 1.0	g a y a u
gaye 1.0	g a y e
gayeM 1.0	g a y e M
geMxa 1.0	g e M x a
gelana 1.0	g e l a n a
gerI 1.0	g e r I
geta 1.0	g e t a
gila 1.0	g i l a
ginawI 1.0	g i n a w I
girA 1.0	g i r A
girAyA 1.0	g i r A y A
giraPwAra 1.0	g i r a P w A r a
gire 1.0	g i r e
giri 1.0	g i r i
girijA 1.0	g i r i j A
girne 1.0	g i r n e
giwArAma 1.0	g i w A r A m a
goRtI 1.0	g o R t I
goRtikA 1.0	g o R t i k A
gobiMxarAya 1.0	g o b i M x a r A y a
gogoI 1.0	g o g o I
golA 1.0	g o l A
golAbArI 1.0	g o l A b A r I
golAbAruxa 1.0	g o l A b A r u x a
golI 1.0	g o l I
golIbArI 1.0	g o l I b A r I
golIbAruxa 1.0	g o l I b A r u x a
golIyoM 1.0	g o l I y o M
golPa 1.0	g o l P a
gola 1.0	g o l a
gole 1.0	g o l e
goliyAz 1.0	g o l i y A z
gomawI 1.0	g o m a w I
gorKA 1.0	g o r K A
gora 1.0	g o r a
goraKapura 1.0	g o r a K a p u r a
gosAI 1.0	g o s A I
govA 1.0	g o v A
goviMxa 1.0	g o v i M x a
goxAma 1.0	g o x A m a
goxa 1.0	g o x a
gqha 1.0	g q h a
gqmaMwrI 1.0	g q m a M w r I
grAhaka 1.0	g r A h a k a
grAmINa 1.0	g r A m I N a
grAma 1.0	g r A m a
grAunda 1.0	g r A u n d a
grIka 1.0	g r I k a
grUpa 1.0	g r U p a
graMWa 1.0	g r a M W a
graha 1.0	g r a h a
grahaNa 1.0	g r a h a N a
granWa 1.0	g r a n W a
greMda 1.0	g r e M d a
grida 1.0	g r i d a
griha 1.0	g r i h a
grihmaMwrI 1.0	g r i h m a M w r I
gruha 1.0	g r u h a
grupa 1.0	g r u p a
guMjAyaSa 1.0	g u M j A y a S a
guNa 1.0	g u N a
guNavawwA 1.0	g u N a v a w w A
guNoM 1.0	g u N o M
guToM 1.0	g u T o M
gujarAwI 1.0	g u j a r A w I
gujarAwa 1.0	g u j a r A w a
gujrAla 1.0	g u j r A l a
gumarAha 1.0	g u m a r A h a
gumrAha 1.0	g u m r A h a
guna 1.0	g u n a
gupwA 1.0	g u p w A
gupwcaroM 1.0	g u p w c a r o M
gurKA 1.0	g u r K A
gurU 1.0	g u r U
gura 1.0	g u r a
guru 1.0	g u r u
gurucaraNa 1.0	g u r u c a r a N a
gyA 1.0	g y A
gyAna 1.0	g y A n a
gyArA 1.0	g y A r A
gyArAha 1.0	g y A r A h a
gyAraha 1.0	g y A r a h a
gyArahavAz 1.0	g y A r a h a v A z
gyAravA 1.0	g y A r a v A
hAM 1.0	h A M
hAWa 1.0	h A W a
hAiku 1.0	h A i k u
hAjAxa 1.0	h A j A x a
hAkA 1.0	h A k A
hAkdA 1.0	h A k d A
hAlA 1.0	h A l A
hAlAMki 1.0	h A l A M k i
hAlAwa 1.0	h A l A w a
hAlI 1.0	h A l I
hAla 1.0	h A l a
hAlahI 1.0	h A l a h I
hAlawa 1.0	h A l a w a
hAluvAla 1.0	h A l u v A l a
hAra 1.0	h A r a
hArta 1.0	h A r t a
hArwA 1.0	h A r w A
hAsIla 1.0	h A s I l a
hAsila 1.0	h A s i l a
hAusa 1.0	h A u s a
hAwAhawa 1.0	h A w A h a w a
hAwa 1.0	h A w a
hAxsA 1.0	h A x s A
hAz 1.0	h A z
hE	 1.0	h E
hE 1.0	h E
hEM 1.0	h E M
hErI 1.0	h E r I
hExarAbAxa 1.0	h E x a r A b A x a
hExrAbAxa 1.0	h E x r A b A x a
hI 1.0	h I
hIna 1.0	h I n a
hOsa 1.0	h O s a
hOsalA 1.0	h O s a l A
hOslA 1.0	h O s l A
hU 1.0	h U
hUM 1.0	h U M
hUz 1.0	h U z
ha 1.0	h a
haPa 1.0	h a P a
haPawo 1.0	h a P a w o
haPwe 1.0	h a P w e
haTAne 1.0	h a T A n e
haTi 1.0	h a T i
haWiyAroM 1.0	h a W i y A r o M
haWyAra 1.0	h a W y A r a
hadZbadZAhata 1.0	h a d Z b a d Z A h a t a
hajArI 1.0	h a j A r I
hajAra 1.0	h a j A r a
hajAro 1.0	h a j A r o
hajAroM 1.0	h a j A r o M
hajZAra 1.0	h a j Z A r a
hajZrawa 1.0	h a j Z r a w a
hajanI 1.0	h a j a n I
hajrawa 1.0	h a j r a w a
hakIma 1.0	h a k I m a
hakImo 1.0	h a k I m o
haka 1.0	h a k a
hala 1.0	h a l a
halke 1.0	h a l k e
hamArA 1.0	h a m A r A
hamArI 1.0	h a m A r I
hamAre 1.0	h a m A r e
hamIca 1.0	h a m I c a
hamIsa 1.0	h a m I s a
hama 1.0	h a m a
hame 1.0	h a m e
hameM 1.0	h a m e M
hameSA 1.0	h a m e S A
hamlA 1.0	h a m l A
hamlAvara 1.0	h a m l A v a r a
hamlAvaro 1.0	h a m l A v a r o
hamlAvaroM 1.0	h a m l A v a r o M
hamle 1.0	h a m l e
hamlo 1.0	h a m l o
hamloM 1.0	h a m l o M
hanIPuxxIna 1.0	h a n I P u x x I n a
hana 1.0	h a n a
hanumAna 1.0	h a n u m A n a
hanumaMwa 1.0	h a n u m a M w a
harA 1.0	h a r A
harAkara 1.0	h a r A k a r a
harAnA 1.0	h a r A n A
harAyA 1.0	h a r A y A
harI 1.0	h a r I
harIyANA 1.0	h a r I y A N A
hara 1.0	h a r a
haraNa 1.0	h a r a N a
haraRa 1.0	h a r a R a
haraRi 1.0	h a r a R i
harayANA 1.0	h a r a y A N A
hareka 1.0	h a r e k a
hari 1.0	h a r i
hariyANA 1.0	h a r i y A N A
hariyAnA 1.0	h a r i y A n A
harkIsana 1.0	h a r k I s a n a
harkawa 1.0	h a r k a w a
hasInA 1.0	h a s I n A
haspawAla 1.0	h a s p a w A l a
haswAkRara 1.0	h a s w A k R a r a
haswiyAz 1.0	h a s w i y A z
hatA 1.0	h a t A
hatAe 1.0	h a t A e
hatAlegeM 1.0	h a t A l e g e M
hatAnA 1.0	h a t A n A
hatAne 1.0	h a t A n e
hatAyA 1.0	h a t A y A
hatAye 1.0	h a t A y e
hata 1.0	h a t a
hateMge 1.0	h a t e M g e
hatnA 1.0	h a t n A
hatne 1.0	h a t n e
havA 1.0	h a v A
havAI 1.0	h a v A I
havAle 1.0	h a v A l e
havAya 1.0	h a v A y a
havalYAra 1.0	h a v a l Y A r a
hawAhawa 1.0	h a w A h a w a
hawwInI 1.0	h a w w I n I
hawyA 1.0	h a w y A
hawyAra 1.0	h a w y A r a
hawyAroM 1.0	h a w y A r o M
he 1.0	h e
heM 1.0	h e M
heda 1.0	h e d a
helikAptara 1.0	h e l i k A p t a r a
hemlawA 1.0	h e m l a w A
hewu 1.0	h e w u
hiMdU 1.0	h i M d U
hiMnxI 1.0	h i M n x I
hiMsA 1.0	h i M s A
hiMxI 1.0	h i M x I
hiMxuoM 1.0	h i M x u o M
hiMxuswAnI 1.0	h i M x u s w A n I
hila 1.0	h i l a
hilsa 1.0	h i l s a
himAcala 1.0	h i m A c a l a
himAlaya 1.0	h i m A l a y a
himAlyo 1.0	h i m A l y o
himAyawa 1.0	h i m A y a w a
hinnawa 1.0	h i n n a w a
hinxI 1.0	h i n x I
hinxU 1.0	h i n x U
hinxa 1.0	h i n x a
hinxayUropIya 1.0	h i n x a y U r o p I y a
hinxu 1.0	h i n x u
hinxuoM 1.0	h i n x u o M
hinxuswAna 1.0	h i n x u s w A n a
hipakRIya 1.0	h i p a k R I y a
hirAsawa 1.0	h i r A s a w a
hirabayASi 1.0	h i r a b a y A S i
hiroSi 1.0	h i r o S i
hiso 1.0	h i s o
hissA 1.0	h i s s A
hisse 1.0	h i s s e
hissexArI 1.0	h i s s e x A r I
hissoM 1.0	h i s s o M
hiwa 1.0	h i w a
ho 1.0	h o
hoI 1.0	h o I
hoM 1.0	h o M
hoMge 1.0	h o M g e
hoMne 1.0	h o M n e
hoUni 1.0	h o U n i
hogA 1.0	h o g A
hogI 1.0	h o g I
hogaI 1.0	h o g a I
hogaye 1.0	h o g a y e
hoge 1.0	h o g e
hogeM 1.0	h o g e M
hohiM 1.0	h o h i M
hoihi 1.0	h o i h i
hokara 1.0	h o k a r a
holI 1.0	h o l I
honA 1.0	h o n A
honI 1.0	h o n I
hone 1.0	h o n e
hotala 1.0	h o t a l a
hotaloM 1.0	h o t a l o M
howA 1.0	h o w A
howAhawa 1.0	h o w A h a w a
howI 1.0	h o w I
howe 1.0	h o w e
howi 1.0	h o w i
hqxaya 1.0	h q x a y a
hraxaya 1.0	h r a x a y a
huA 1.0	h u A
huI 1.0	h u I
hue 1.0	h u e
hui 1.0	h u i
huvA 1.0	h u v A
huyI 1.0	h u y I
huye 1.0	h u y e
huyena 1.0	h u y e n a
huyi 1.0	h u y i
iKawwara 1.0	i K a w w a r a
iMPeMtrI 1.0	i M P e M t r I
iMdiyA 1.0	i M d i y A
iMdiyAnA 1.0	i M d i y A n A
iMdiyana 1.0	i M d i y a n a
iMdoneSiyA 1.0	i M d o n e S i y A
iMglEMda 1.0	i M g l E M d a
iMjamAmula 1.0	i M j a m A m u l a
iMjiniyaroM 1.0	i M j i n i y a r o M
iMkAra 1.0	i M k A r a
iMspektara 1.0	i M s p e k t a r a
iMtara 1.0	i M t a r a
iMtaraneta 1.0	i M t a r a n e t a
iMtarviyU 1.0	i M t a r v i y U
iMtarvyu 1.0	i M t a r v y u
iMwajAma 1.0	i M w a j A m a
iMxra 1.0	i M x r a
iXara 1.0	i X a r a
icCA 1.0	i c C A
icCuka 1.0	i c C u k a
ikAI 1.0	i k A I
ikAiyAz 1.0	i k A i y A z
ikawwIsa 1.0	i k a w w I s a
ikkIsa 1.0	i k k I s a
ikkIsvI 1.0	i k k I s v I
ikkIsvIM 1.0	i k k I s v I M
iksaTa 1.0	i k s a T a
ikwAlisa 1.0	i k w A l i s a
ikwisa 1.0	i k w i s a
ilAhAbAxa 1.0	i l A h A b A x a
ilAja 1.0	i l A j a
ilAkA 1.0	i l A k A
ilAkI 1.0	i l A k I
ilAke 1.0	i l A k e
ilAko 1.0	i l A k o
ilAkoM 1.0	i l A k o M
ilAkomE 1.0	i l A k o m E
ilektronika 1.0	i l e k t r o n i k a
imAma 1.0	i m A m a
imAmoM 1.0	i m A m o M
imArawa 1.0	i m A r a w a
imwihAna 1.0	i m w i h A n a
inPeMtrI 1.0	i n P e M t r I
inPentrI 1.0	i n P e n t r I
ina 1.0	i n a
inakA 1.0	i n a k A
inakI 1.0	i n a k I
inake 1.0	i n a k e
inako 1.0	i n a k o
inameM 1.0	i n a m e M
inca 1.0	i n c a
indiyA 1.0	i n d i y A
inhe 1.0	i n h e
inheM 1.0	i n h e M
inhoMne 1.0	i n h o M n e
injekRana 1.0	i n j e k R a n a
inkA 1.0	i n k A
inkAra 1.0	i n k A r a
inke 1.0	i n k e
inmeM 1.0	i n m e M
inna 1.0	i n n a
inse 1.0	i n s e
intara 1.0	i n t a r a
irAxA 1.0	i r A x A
isI 1.0	i s I
isWAika 1.0	i s W A i k a
isWAna 1.0	i s W A n a
isWiwI 1.0	i s W i w I
isa 1.0	i s a
isakA 1.0	i s a k A
isakI 1.0	i s a k I
isake 1.0	i s a k e
isako 1.0	i s a k o
isalie 1.0	i s a l i e
isaliye 1.0	i s a l i y e
isameM 1.0	i s a m e M
isase 1.0	i s a s e
ise 1.0	i s e
iskA 1.0	i s k A
iskI 1.0	i s k I
iske 1.0	i s k e
islAmAbAxa 1.0	i s l A m A b A x a
islAmAbaxa 1.0	i s l A m A b a x a
islAmI 1.0	i s l A m I
islAma 1.0	i s l A m a
islAmika 1.0	i s l A m i k a
isliye 1.0	i s l i y e
isme 1.0	i s m e
ismeM 1.0	i s m e M
isne 1.0	i s n e
isse 1.0	i s s e
ista 1.0	i s t a
iswamAla 1.0	i s w a m A l a
iswemAla 1.0	i s w e m A l a
itali 1.0	i t a l i
iva 1.0	i v a
iwanA 1.0	i w a n A
iwihAsa 1.0	i w i h A s a
iwihAsakAra 1.0	i w i h A s a k A r a
iwihAsakAroM 1.0	i w i h A s a k A r o M
iwwehAwa 1.0	i w w e h A w a
iwyAxi 1.0	i w y A x i
jA 1.0	j A
jAEgA 1.0	j A E g A
jAI 1.0	j A I
jAMbAjZa 1.0	j A M b A j Z a
jANa 1.0	j A N a
jATa 1.0	j A T a
jAbAja 1.0	j A b A j a
jAca 1.0	j A c a
jAcukA 1.0	j A c u k A
jAe 1.0	j A e
jAegA 1.0	j A e g A
jAegI 1.0	j A e g I
jAhA 1.0	j A h A
jAhAja 1.0	j A h A j a
jAhU 1.0	j A h U
jAhira 1.0	j A h i r a
jAi 1.0	j A i
jAkara 1.0	j A k a r a
jAkuvo 1.0	j A k u v o
jAla 1.0	j A l a
jAmA 1.0	j A m A
jAmnagara 1.0	j A m n a g a r a
jAnA 1.0	j A n A
jAnI 1.0	j A n I
jAna 1.0	j A n a
jAnahu 1.0	j A n a h u
jAnai 1.0	j A n a i
jAnakArI 1.0	j A n a k A r I
jAnakara 1.0	j A n a k a r a
jAnanA 1.0	j A n a n A
jAnane 1.0	j A n a n e
jAnauz 1.0	j A n a u z
jAnawA 1.0	j A n a w A
jAnawe 1.0	j A n a w e
jAne 1.0	j A n e
jAneM 1.0	j A n e M
jAnevAlI 1.0	j A n e v A l I
jAnevAle 1.0	j A n e v A l e
jAni 1.0	j A n i
jAnkA 1.0	j A n k A
jAnkArI 1.0	j A n k A r I
jApAna 1.0	j A p A n a
jArI 1.0	j A r I
jArahe 1.0	j A r a h e
jAriye 1.0	j A r i y e
jArja 1.0	j A r j a
jAsu 1.0	j A s u
jAwA 1.0	j A w A
jAwI 1.0	j A w I
jAwa 1.0	j A w a
jAwe 1.0	j A w e
jAwi 1.0	j A w i
jAyA 1.0	j A y A
jAya 1.0	j A y a
jAyajA 1.0	j A y a j A
jAye 1.0	j A y e
jAyeM 1.0	j A y e M
jAyeMge 1.0	j A y e M g e
jAyegA 1.0	j A y e g A
jAyegI 1.0	j A y e g I
jAyege 1.0	j A y e g e
jAygA 1.0	j A y g A
jAyjZA 1.0	j A y j Z A
jAzbAjZa 1.0	j A z b A j Z a
jAzca 1.0	j A z c a
jEna 1.0	j E n a
jEsA 1.0	j E s A
jEsI 1.0	j E s I
jEse 1.0	j E s e
jFAna 1.0	j F A n a
jFAwa 1.0	j F A w a
jI 1.0	j I
jIro 1.0	j I r o
jIva 1.0	j I v a
jIvana 1.0	j I v a n a
jIviwa 1.0	j I v i w a
jIvnI 1.0	j I v n I
jIwA 1.0	j I w A
jIwI 1.0	j I w I
jIwa 1.0	j I w a
jIwane 1.0	j I w a n e
jIwkara 1.0	j I w k a r a
jOM 1.0	j O M
jOYrja 1.0	j O Y r j a
jUJa 1.0	j U J a
jUna 1.0	j U n a
jZArI 1.0	j Z A r I
jZabarxaswa 1.0	j Z a b a r x a s w a
jZabwa 1.0	j Z a b w a
jZarUrI 1.0	j Z a r U r I
jZarUra 1.0	j Z a r U r a
jZavAba 1.0	j Z a v A b a
jZiMbAbve 1.0	j Z i M b A b v e
jZikra 1.0	j Z i k r a
jZile 1.0	j Z i l e
jZimmexArI 1.0	j Z i m m e x A r I
jZimmexAra 1.0	j Z i m m e x A r a
jZinxA 1.0	j Z i n x A
jZiyA 1.0	j Z i y A
jZora 1.0	j Z o r a
jZorxAra 1.0	j Z o r x A r a
jZyAxAwara 1.0	j Z y A x A w a r a
jaGanya 1.0	j a G a n y a
jaGoM 1.0	j a G o M
jaGoMpara 1.0	j a G o M p a r a
jaKAlawA 1.0	j a K A l a w A
jaKIrA 1.0	j a K I r A
jaMgI 1.0	j a M g I
jaMga 1.0	j a M g a
jaMgalI 1.0	j a M g a l I
jaMgala 1.0	j a M g a l a
jaMgaloM 1.0	j a M g a l o M
jaSvaMwa 1.0	j a S v a M w a
jaba 1.0	j a b a
jabaki 1.0	j a b a k i
jabarxaswa 1.0	j a b a r x a s w a
jabarxaswo 1.0	j a b a r x a s w o
jabki 1.0	j a b k i
jagAne 1.0	j a g A n e
jagXISa 1.0	j a g X I S a
jaga 1.0	j a g a
jagaha 1.0	j a g a h a
jagahoM 1.0	j a g a h o M
jagannAWa 1.0	j a g a n n A W a
jagawa 1.0	j a g a w a
jagjIvana 1.0	j a g j I v a n a
jagjoM 1.0	j a g j o M
jagmohana 1.0	j a g m o h a n a
jagxiSa 1.0	j a g x i S a
jahA 1.0	j a h A
jahAM 1.0	j a h A M
jahAja 1.0	j a h A j a
jahAz 1.0	j a h A z
jahOY 1.0	j a h O Y
jalAgamaka 1.0	j a l A g a m a k a
jalAyA 1.0	j a l A y A
jalYI 1.0	j a l Y I
jalYa 1.0	j a l Y a
jala 1.0	j a l a
jalaswara 1.0	j a l a s w a r a
jalaxa 1.0	j a l a x a
jalgAMva 1.0	j a l g A M v a
jalxI 1.0	j a l x I
jamA 1.0	j a m A
jamAne 1.0	j a m A n e
jamAyA 1.0	j a m A y A
jamEwe 1.0	j a m E w e
jamIna 1.0	j a m I n a
jama 1.0	j a m a
jamaSexapura 1.0	j a m a S e x a p u r a
jambAra 1.0	j a m b A r a
jameM 1.0	j a m e M
jammU 1.0	j a m m U
jammu 1.0	j a m m u
janArxana 1.0	j a n A r x a n a
jana 1.0	j a n a
janama 1.0	j a n a m a
janani 1.0	j a n a n i
janapaxa 1.0	j a n a p a x a
janaprawiniXi 1.0	j a n a p r a w i n i X i
janasaMKyA 1.0	j a n a s a M K y A
janawA 1.0	j a n a w A
janivA 1.0	j a n i v A
janmI 1.0	j a n m I
janma 1.0	j a n m a
janmxina 1.0	j a n m x i n a
janoM 1.0	j a n o M
janrala 1.0	j a n r a l a
jansaMGa 1.0	j a n s a M G a
janvarI 1.0	j a n v a r I
janwA 1.0	j a n w A
janwara 1.0	j a n w a r a
janyuala 1.0	j a n y u a l a
japAna 1.0	j a p A n a
japa 1.0	j a p a
jarI 1.0	j a r I
jarIye 1.0	j a r I y e
jarUrI 1.0	j a r U r I
jarUrawa 1.0	j a r U r a w a
jarUrwoM 1.0	j a r U r w o M
jarbaBOmika 1.0	j a r b a B O m i k a
jariye 1.0	j a r i y e
jarmanI 1.0	j a r m a n I
jarmana 1.0	j a r m a n a
jarmani 1.0	j a r m a n i
jarurI 1.0	j a r u r I
jarurawa 1.0	j a r u r a w a
jarurawmanxa 1.0	j a r u r a w m a n x a
jarurweM 1.0	j a r u r w e M
jasotiya 1.0	j a s o t i y a
jasu 1.0	j a s u
jasvIra 1.0	j a s v I r a
jasvaMwa 1.0	j a s v a M w a
jatIla 1.0	j a t I l a
javAbI 1.0	j a v A b I
javAba 1.0	j a v A b a
javAna 1.0	j a v A n a
javAno 1.0	j a v A n o
javAnoM 1.0	j a v A n o M
javAnone 1.0	j a v A n o n e
jawAI 1.0	j a w A I
jaxapi 1.0	j a x a p i
jaxyapi 1.0	j a x y a p i
jaya 1.0	j a y a
jayaMwI 1.0	j a y a M w I
jayalaliwA 1.0	j a y a l a l i w A
jayanwI 1.0	j a y a n w I
jayapura 1.0	j a y a p u r a
jaye 1.0	j a y e
jayegA 1.0	j a y e g A
je 1.0	j e
jehAxa 1.0	j e h A x a
jela 1.0	j e l a
jemsa 1.0	j e m s a
jenIvA 1.0	j e n I v A
jenrala 1.0	j e n r a l a
jenretara 1.0	j e n r e t a r a
jensI 1.0	j e n s I
jerharxa 1.0	j e r h a r x a
jetalI 1.0	j e t a l I
jetlI 1.0	j e t l I
jewe 1.0	j e w e
jiMtu 1.0	j i M t u
jika 1.0	j i k a
jikkara 1.0	j i k k a r a
jilA 1.0	j i l A
jile 1.0	j i l e
jimbAbve 1.0	j i m b A b v e
jimmaxAra 1.0	j i m m a x A r a
jimmexArI 1.0	j i m m e x A r I
jimmexAra 1.0	j i m m e x A r a
jimmexara 1.0	j i m m e x a r a
jina 1.0	j i n a
jinakA 1.0	j i n a k A
jinake 1.0	j i n a k e
jinevA 1.0	j i n e v A
jinheM 1.0	j i n h e M
jinhoMne 1.0	j i n h o M n e
jinhone 1.0	j i n h o n e
jinivA 1.0	j i n i v A
jinme 1.0	j i n m e
jiro 1.0	j i r o
jisa 1.0	j i s a
jisakA 1.0	j i s a k A
jisameM 1.0	j i s a m e M
jisase 1.0	j i s a s e
jise 1.0	j i s e
jiske 1.0	j i s k e
jisme 1.0	j i s m e
jismeM 1.0	j i s m e M
jisne 1.0	j i s n e
jisse 1.0	j i s s e
jivana 1.0	j i v a n a
jiwnevAlI 1.0	j i w n e v A l I
jiyaz 1.0	j i y a z
jo 1.0	j o
joSI 1.0	j o S I
jodA 1.0	j o d A
jodI 1.0	j o d I
jodZI 1.0	j o d Z I
joda 1.0	j o d a
jodane 1.0	j o d a n e
jogI 1.0	j o g I
joga 1.0	j o g a
johara 1.0	j o h a r a
joiMta 1.0	j o i M t a
jonIyA 1.0	j o n I y A
jori 1.0	j o r i
jorja 1.0	j o r j a
jorxAra 1.0	j o r x A r a
jowpura 1.0	j o w p u r a
joya 1.0	j o y a
jubAra 1.0	j u b A r a
jubalI 1.0	j u b a l I
judA 1.0	j u d A
judZA 1.0	j u d Z A
judZI 1.0	j u d Z I
judZe 1.0	j u d Z e
judwA 1.0	j u d w A
julUsa 1.0	j u l U s a
jula 1.0	j u l a
julusa 1.0	j u l u s a
juta 1.0	j u t a
jute 1.0	j u t e
jutwA 1.0	j u t w A
jyAxA 1.0	j y A x A
jyowI 1.0	j y o w I
jyowi 1.0	j y o w i
jyowiRa 1.0	j y o w i R a
kA 1.0	k A
kAM 1.0	k A M
kAMPreMsa 1.0	k A M P r e M s a
kAMdalA 1.0	k A M d a l A
kAMgresa 1.0	k A M g r e s a
kAMte 1.0	k A M t e
kAMwa 1.0	k A M w a
kAPI 1.0	k A P I
kAPZI 1.0	k A P Z I
kASI 1.0	k A S I
kATmAMdU 1.0	k A T m A M d U
kAU 1.0	k A U
kAUMtara 1.0	k A U M t a r a
kAblA 1.0	k A b l A
kAhe 1.0	k A h e
kAju 1.0	k A j u
kAki 1.0	k A k i
kAksara 1.0	k A k s a r a
kAksawa 1.0	k A k s a w a
kAlA 1.0	k A l A
kAlI 1.0	k A l I
kAla 1.0	k A l a
kAlixAsa 1.0	k A l i x A s a
kAliyA 1.0	k A l i y A
kAlonI 1.0	k A l o n I
kAlpanika 1.0	k A l p a n i k a
kAma 1.0	k A m a
kAmanA 1.0	k A m a n A
kAmarsa 1.0	k A m a r s a
kAmyAbI 1.0	k A m y A b I
kAmyAba 1.0	k A m y A b a
kAnPreMsa 1.0	k A n P r e M s a
kAnUnI 1.0	k A n U n I
kAnUna 1.0	k A n U n a
kAnUno 1.0	k A n U n o
kAna 1.0	k A n a
kArKAnA 1.0	k A r K A n A
kArKAne 1.0	k A r K A n e
kAra 1.0	k A r a
kAraKAne 1.0	k A r a K A n e
kAraNa 1.0	k A r a N a
kArana 1.0	k A r a n a
kAravAI 1.0	k A r a v A I
kAravAhI 1.0	k A r a v A h I
kAravAhiyAM 1.0	k A r a v A h i y A M
kAravAhiyoM 1.0	k A r a v A h i y o M
kAravAya 1.0	k A r a v A y a
kArgila 1.0	k A r g i l a
kAriyoM 1.0	k A r i y o M
kArporeSana 1.0	k A r p o r e S a n a
kArtUna 1.0	k A r t U n a
kArtUniRtoM 1.0	k A r t U n i R t o M
kArvAI 1.0	k A r v A I
kArvAhI 1.0	k A r v A h I
kAryAlaya 1.0	k A r y A l a y a
kArya 1.0	k A r y a
kAryaBAra 1.0	k A r y a B A r a
kAryakArI 1.0	k A r y a k A r I
kAryakarwAo 1.0	k A r y a k a r w A o
kAryakrama 1.0	k A r y a k r a m a
kAryakramo 1.0	k A r y a k r a m o
kAryarawa 1.0	k A r y a r a w a
kAryavAI 1.0	k A r y a v A I
kAryavAhI 1.0	k A r y a v A h I
kAryavAhIyAz 1.0	k A r y a v A h I y A z
kAryoM 1.0	k A r y o M
kAswara 1.0	k A s w a r a
kAta 1.0	k A t a
kAte 1.0	k A t e
kAtmAMdU 1.0	k A t m A M d U
kAtne 1.0	k A t n e
kAuMnsila 1.0	k A u M n s i l a
kAuMtara 1.0	k A u M t a r a
kAunsila 1.0	k A u n s i l a
kAvya 1.0	k A v y a
kAyama 1.0	k A y a m a
kAyarwA 1.0	k A y a r w A
kAzgresa 1.0	k A z g r e s a
kEi 1.0	k E i
kEiM 1.0	k E i M
kEptana 1.0	k E p t a n a
kEse 1.0	k E s e
kEseM 1.0	k E s e M
kExI 1.0	k E x I
kExa 1.0	k E x a
kI 1.0	k I
kIje 1.0	k I j e
kIjie 1.0	k I j i e
kImawa 1.0	k I m a w a
kInhI 1.0	k I n h I
kInha 1.0	k I n h a
kIsa 1.0	k I s a
kIyA 1.0	k I y A
kIye 1.0	k I y e
kOYleja 1.0	k O Y l e j a
kOYpIrAita 1.0	k O Y p I r A i t a
kOYrporeSana 1.0	k O Y r p o r e S a n a
kOna 1.0	k O n a
